"targetword","MannMln","natLogMannMln"
"Asteroid",0,0
"Diamant",5,1.79175946922805
"Fassade",11,2.484906649788
"Hornisse",1,0.693147180559945
"Infektion",3,1.38629436111989
"Kamille",0,0
"Korrektur",10,2.39789527279837
"Kristall",2,1.09861228866811
"Lavendel",0,0
"Libelle",1,0.693147180559945
"Maschine",145,4.98360662170834
"Mechaniker",6,1.94591014905531
"Medikament",10,2.39789527279837
"Meteorit",2,1.09861228866811
"Mikroskop",5,1.79175946922805
"Orchidee",2,1.09861228866811
"Pinzette",0,0
"Porzellan",4,1.6094379124341
"Satellit",21,3.09104245335832
"Silikon",0,0
"Tablette",3,1.38629436111989
"Therapie",9,2.30258509299405
"Veranda",3,1.38629436111989
"Triceratops",0,0
"Begiwamell",0,0
"Beprodiker",0,0
"Betando",0,0
"Exdetoik",0,0
"Exglinie",0,0
"Fellade",0,0
"Finnatte",0,0
"Fornellyn",0,0
"Hedeorem",0,0
"Irhaption",0,0
"Lamisse",0,0
"Lapratte",0,0
"Latendit",0,0
"Mifrophox",0,0
"Morlaktur",0,0
"Morzesse",0,0
"Nazendeg",0,0
"Plästall",0,0
"Rhelazie",0,0
"Stixeratark",0,0
"Tastrime",0,0
"Tilizyn",0,0
"Ziahont",0,0
"Zodelle",0,0
